tour_id,tour_name,description,duration,location,price,average_rating
1,Central Vietnam Tour Package,Da Nang(3N) → Hoi An(2N),5 Nights / 6 Days,Vietnam,8725000,4.1
2,4 Days Vietnam Journey Through Southern Ho Chi Minh – Cu Chi – Mekong Delta,Ho Chi Minh City(3N),3 Nights / 4 Days,Vietnam,12475000,4.3
3,7 Days Cultural and Scenic Journey Hanoi – Halong – Hue - Danang – Hoi An –Ba Na Hills,Hanoi(2N) →  Halong Bay(1N) →  Hue(1N) →  Danang(2N),6 Nights / 7 Days,Vietnam,10975000,2.7
4,Vietnam Odyssey: Discover the Wonders of North and South,Hanoi(2N) → Halong Bay(1N) → Ho Chi Minh City(2N),5 Nights / 6 Days,Vietnam,10975000,3.9
5,Vietnam Adventure Quest Package for 7 Days,Ho Chi Minh City(2N) →  Danang(2N) →  Hanoi(2N),6 Nights / 7 Days,Vietnam,13075000,4.7
6,3 Days Cultural and Scenic Journey to Danang – Hoi An – Ba Na Hills,Hoi An(2N),2 Nights / 3 Days,Vietnam,6725000,3.2
7,6 Days Vietnam Journey Across Northern Wonders Package,Hanoi(4N) →  Sapa(1N),5 Nights / 6 Days,Vietnam,19075000,3.4
8,Premium Epic Vietnam Tour,Hanoi(2N) → Halong Bay(1N) → Da Nang(2N)Ba Na Hills(1N) → Ho Chi Minh City(2N) → Phu Quoc Island(2N),10 Nights / 11 Days,Vietnam,28650000,4
9,Vietnam & Cambodia: A Journey of Timeless Heritage and Unforgettable Adventures,Ho Chi Minh City(2N) → Da Nang(2N) → Hanoi(2N) → Halong Bay(1N) → Siem Reap(2N),9 Nights / 10 Days,Vietnam,27050000,3.8
10,Vietnam Discovery: Unveil the Magic of 3 cities - Hanoi  Da Nang & Ho Chi Minh City,Hanoi(2N) → Da Nang(2N) → Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,11725000,4.8
11,10 Days Vietnam Journey Across Northern Wonders,Hanoi(4N) →  Ninh Binh(2N) →  Halong Bay(1N) →  Sapa(3N),9 Nights / 10 Days,Vietnam,32775000,3.4
12,5 Days Cultural and Scenic Journey To Danang – Hoi An – Hue – Ba Na Hills,Danang(3N) →  Hue(1N),4 Nights / 5 Days,Vietnam,12400000,4.7
13,Vietnam Tour Package 4 Nights 5 Days,Hanoi(1N) → Halong Bay(1N) → Da Nang(2N),4 Nights / 5 Days,Vietnam,11275000,3.7
14,Classic Vietnam Tour Package: Hanoi & Ho Chi Minh,Hanoi (3N) →  Ho Chi Min City (2N),5 Nights / 6 Days,Vietnam,17600000,2.8
15,"Essential Vietnam Tour Package: Hanoi, Danang & More",Hanoi(2N) →  Danang(2N) →  Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,14675000,3.1
16,Mesmerising Vietnam Honeymoon Tour including Halong Bay Cruise,Ho Chi Minh City(2N) →  Hanoi(1N) →  Halong Bay(1N),4 Nights / 5 Days,Vietnam,11125000,3.7
17,Vietnam Highlights Tour Package: Must-See Sights & Experiences,Ho Chi Minh(2N) →  Hoi An(2N) →  Hanoi(1N) →  Halong Bay(2N),7 Nights / 8 Days,Vietnam,21050000,2.4
18,Best of Vietnam Holiday Package Including Halong Bay Cruise,Hanoi(1N) →  Halong Bay(1N) →  Ho Chi Minh City(3N),5 Nights / 6 Days,Vietnam,17300000,3.5
19,Explore Vietnam Holiday Trip with Halong Bay Cruise,Hanoi(1N) →  Halong Bay(1N) →  Hue(1N) →  Hoi An(2N) →  Ho Chi Minh City(3N),8 Nights / 9 Days,Vietnam,21950000,3.3
20,Vietnam Tour Package - 8 Nights 9 Days,Hanoi(1N) →  Ha Long Bay(1N) →  Ho Chi Minh(2N) →  Phu Quoc(4N),8 Nights / 9 Days,Vietnam,22225000,4.1
21,Fabulous Vietnam Tour Package for 7 Days with Private Boat Cruise,Ho Chi Minh City(3N) →  Hanoi(2N) →  Halong Bay(1N),6 Nights / 7 Days,Vietnam,21650000,2.4
22,Ho Mihn City and Phu Quoc Island Tour Package,Ho Chi Mihn City(3N) →  Phu Quoc Island(3N),6 Nights / 7 Days,Vietnam,16550000,3.2
23,Beautiful Hanoi and Danang Package With Day Trip to Hoi An,Hanoi(3N) →  Danang(2N),5 Nights / 6 Days,Vietnam,17925000,4.7
24,Hoi An and Da Nang Holiday Package with Cycle Tour,Hoi An(2N) →  Da Nang(2N),4 Nights / 5 Days,Vietnam,11775000,3.2
25,Vietnam Itinerary 5 Days - Including Halong Bay Cruise,Hanoi(4N) →  Halong Bay(0N) →  Ninh Binh(0N),4 Nights / 5 Days,Vietnam,9475000,2.1
26,Super Saver Vietnam Package in Hanoi & Ho Chi Minh City,Hanoi(2N) →  Ninh Binh(0N) →  Ho Chi Minh City(3N),5 Nights / 6 Days,Vietnam,11875000,2
27,7 Days Northern Vietnam Adventure: Sapa With Fansipan Mountain Tour,Hanoi(2N) →  Sapa(1N) →  Hanoi(1N) →  Halong Bay(1N) →  Hanoi(1N),6 Nights / 7 Days,Vietnam,20450000,4.5
28,Mesmerising Vietnam Tour Package for 4 Nights: Free Cu Chi Tunnels,Ho Chi Minh City(2N) →  Hanoi(1N) →  Halong Bay(1N),4 Nights / 5 Days,Vietnam,13075000,3.2
29,Couple Special Vietnam Honeymoon Package: With Ba Na Hills Tickets,Hanoi (2N) →  Danang (2N) →  Ho Chi Minh City (2N),6 Nights / 7 Days,Vietnam,23100000,4.1
30,Mesmerising Vietnam and Cambodia Honeymoon Tour Package,Ho Chi Mihn City(3N) → Hanoi(3N) → Halong Bay Cruise(1N) →  Siem Reap(3N),10 Nights / 11 Days,Vietnam,38825000,2
31,"Vietnam Adventure: Hanoi, Ha Long, Hoi An, and Phu Quoc 8-Day Itinerary",Hanoi (1N) → Ha Long Bay(1N) →  Hanoi (1N) →  Hoi An(2N) →   Phu Quoc Island(2N),7 Nights / 8 Days,Vietnam,21950000,3.6
32,Mui Ne Sand Dunes Package,Ho Chi Mihn City(0N) →   Mui Ne Sand Dunes(3N),3 Nights / 4 Days,Vietnam,7575000,4.9
33,Treasures of Vietnam Family Package: Ba Na Hills Day Trip,Hanoi(2N) →  Halong Bay(1N) →  Da Nang(2N) →  Ba Na Hils(0N) →  Ho Chi Minh City(2N),7 Nights / 8 Days,Vietnam,21050000,3.4
34,Experience the Best of Vietnam and Cambodia in 7 Nights,Hanoi(3N) →  Ho Chi Minh City(2N) →  Siem Reap(2N),7 Nights / 8 Days,Vietnam,22875000,4.3
35,Romantic Royal Vietnam and Cambodia Tour: Complimentary Room Decoration,Ho Chi Minh City(3N) →  Siem Reap(2N),5 Nights / 6 Days,Vietnam,18950000,4
36,Experience the Best of Vietnam - 11 Nights 12 Days,Hanoi(2N) →  Halong Bay(1N) →  Hue(1N) →  Hoi An(2N) →  Nha Trang(3N) →  Ho Chi Minh City(2N),11 Nights / 12 Days,Vietnam,26475000,3.1
37,Luxury Vietnam Honeymoon: 7 Nights Blissful Package Deal,Hanoi(1N) →  Halong Bay(1N) →  Da Nang(2N) →  Ho Chi Minh City(3N),7 Nights / 8 Days,Vietnam,19700000,2.3
38,Jewels of Cambodia and Vietnam Tour Package With Cruise,Hanoi(3N) →  Halong Bay(1N) →  Ho Chi Minh City(1N) →  Phnom Penh(2N) →  Siem Reap(2N),9 Nights / 10 Days,Vietnam,26325000,3.1
39,4 Star Luxury Vietnam Holiday Tour Package for 9 Nights,Hanoi(3N) →  Halong Bay(1N) →  Phu Quoc Island(3N) →  Ho Chi Minh City(2N),9 Nights / 10 Days,Vietnam,28575000,3
40,Historically Amazing Vietnam Tour,Hanoi(3N) →  Halong Bay(1N) →  Hue(2N) →  Hoi An(2N) →  Ho Chi Minh City(2N),10 Nights / 11 Days,Vietnam,25575000,3.4
41,Vietnam Itinerary 10 Days,Hanoi(2N) →  Sapa(1N) →  Halong Bay(1N) →  Da Nang(2N) →  Ho Chi Minh City(3N),9 Nights / 10 Days,Vietnam,23625000,4.6
42,Vietnam Tour Package With Phong Nha Ke Bang National Park,Hanoi(1N) →  Halong Bay(1N) →  Hanoi(1N) →  Dong Hoi(1N) →  Quang Bing Province (1N) →  Hoi An(2N),7 Nights / 8 Days,Vietnam,23925000,4.4
43,7 Nights Vietnam Family Special Tour Package,Hanoi(3N) →  Halong Bay(2N)  → Ho Chi Min City(2N),7 Nights / 8 Days,Vietnam,22575000,2.9
44,Phu Quoc Island 3 Nights 4 Days Holiday Tour Package,Phu Quoc Island(3N),3 Nights / 4 Days,Vietnam,11125000,3.1
45,Discover Vietnam Package: Free Golden Hands Bridge Cable Car Ticket,Hanoi(2N) →  Halong(1N) →  Da Nang(2N) →  Ho Chi Minh(2N),7 Nights / 8 Days,Vietnam,22650000,3.6
46,Classic Vietnam Tour including Sapa & Mekong Delta,Hanoi(0N) →  Sapa(1N) →  Halong Bay(2N) →  Hue(1N) →  Hoi An(2N) →  Ho Chi Minh City(2N) →  Mekong Delta(1N),11 Nights / 12 Days,Vietnam,27375000,5
47,Magical Vietnam Package With Boat Ride to Tam Coc Caves,Hanoi(2N) →  Halong Bay(1N) →  Hoa Lu(0N) →  Ho Chi Minh City(3N),6 Nights / 7 Days,Vietnam,23175000,4.8
48,Delightful Vietnam & Cambodia Holiday Package,Hanoi(3N) →  Halong Bay(0N) →  Ho Chi Minh City(3N) →  Siem Reap(2N) →  Phnom Penh(2N),10 Nights / 11 Days,Vietnam,29775000,4.7
49,7 Days Honeymoon in Vietnam: Couple Special Package,Hanoi(2N) →  Halong(1N) →  Hanoi(1N) →  Nha Trang(2N),6 Nights / 7 Days,Vietnam,21575000,5
50,Rediscover Romance in Vietnam Package for Couples,Hanoi(2N) →  Halong(2N) →  Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,24075000,4.7
51,Central Vietnam Tour Package,Da Nang(3N) → Hoi An(2N),5 Nights / 6 Days,Vietnam,8725000,3.6
52,4 Days Vietnam Journey Through Southern Ho Chi Minh – Cu Chi – Mekong Delta,Ho Chi Minh City(3N),3 Nights / 4 Days,Vietnam,12475000,4
53,7 Days Cultural and Scenic Journey Hanoi – Halong – Hue - Danang – Hoi An –Ba Na Hills,Hanoi(2N) →  Halong Bay(1N) →  Hue(1N) →  Danang(2N),6 Nights / 7 Days,Vietnam,10975000,3.1
54,Vietnam Odyssey: Discover the Wonders of North and South,Hanoi(2N) → Halong Bay(1N) → Ho Chi Minh City(2N),5 Nights / 6 Days,Vietnam,10975000,3.6
55,Vietnam Adventure Quest Package for 7 Days,Ho Chi Minh City(2N) →  Danang(2N) →  Hanoi(2N),6 Nights / 7 Days,Vietnam,13075000,2.2
56,3 Days Cultural and Scenic Journey to Danang – Hoi An – Ba Na Hills,Hoi An(2N),2 Nights / 3 Days,Vietnam,6725000,2.9
57,6 Days Vietnam Journey Across Northern Wonders Package,Hanoi(4N) →  Sapa(1N),5 Nights / 6 Days,Vietnam,19075000,2.7
58,Premium Epic Vietnam Tour,Hanoi(2N) → Halong Bay(1N) → Da Nang(2N)Ba Na Hills(1N) → Ho Chi Minh City(2N) → Phu Quoc Island(2N),10 Nights / 11 Days,Vietnam,28650000,5
59,Vietnam & Cambodia: A Journey of Timeless Heritage and Unforgettable Adventures,Ho Chi Minh City(2N) → Da Nang(2N) → Hanoi(2N) → Halong Bay(1N) → Siem Reap(2N),9 Nights / 10 Days,Vietnam,27050000,2.9
60,Vietnam Discovery: Unveil the Magic of 3 cities - Hanoi  Da Nang & Ho Chi Minh City,Hanoi(2N) → Da Nang(2N) → Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,11725000,4.1
61,10 Days Vietnam Journey Across Northern Wonders,Hanoi(4N) →  Ninh Binh(2N) →  Halong Bay(1N) →  Sapa(3N),9 Nights / 10 Days,Vietnam,32775000,4.1
62,5 Days Cultural and Scenic Journey To Danang – Hoi An – Hue – Ba Na Hills,Danang(3N) →  Hue(1N),4 Nights / 5 Days,Vietnam,12400000,4.5
63,Vietnam Tour Package 4 Nights 5 Days,Hanoi(1N) → Halong Bay(1N) → Da Nang(2N),4 Nights / 5 Days,Vietnam,11275000,4.7
64,Classic Vietnam Tour Package: Hanoi & Ho Chi Minh,Hanoi (3N) →  Ho Chi Min City (2N),5 Nights / 6 Days,Vietnam,17600000,3.8
65,"Essential Vietnam Tour Package: Hanoi, Danang & More",Hanoi(2N) →  Danang(2N) →  Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,14675000,4.1
66,Mesmerising Vietnam Honeymoon Tour including Halong Bay Cruise,Ho Chi Minh City(2N) →  Hanoi(1N) →  Halong Bay(1N),4 Nights / 5 Days,Vietnam,11125000,2.1
67,Vietnam Highlights Tour Package: Must-See Sights & Experiences,Ho Chi Minh(2N) →  Hoi An(2N) →  Hanoi(1N) →  Halong Bay(2N),7 Nights / 8 Days,Vietnam,21050000,3.1
68,Best of Vietnam Holiday Package Including Halong Bay Cruise,Hanoi(1N) →  Halong Bay(1N) →  Ho Chi Minh City(3N),5 Nights / 6 Days,Vietnam,17300000,3.5
69,Explore Vietnam Holiday Trip with Halong Bay Cruise,Hanoi(1N) →  Halong Bay(1N) →  Hue(1N) →  Hoi An(2N) →  Ho Chi Minh City(3N),8 Nights / 9 Days,Vietnam,21950000,4.1
70,Vietnam Tour Package - 8 Nights 9 Days,Hanoi(1N) →  Ha Long Bay(1N) →  Ho Chi Minh(2N) →  Phu Quoc(4N),8 Nights / 9 Days,Vietnam,22225000,4.8
71,Fabulous Vietnam Tour Package for 7 Days with Private Boat Cruise,Ho Chi Minh City(3N) →  Hanoi(2N) →  Halong Bay(1N),6 Nights / 7 Days,Vietnam,21650000,3.5
72,Ho Mihn City and Phu Quoc Island Tour Package,Ho Chi Mihn City(3N) →  Phu Quoc Island(3N),6 Nights / 7 Days,Vietnam,16550000,3.3
73,Beautiful Hanoi and Danang Package With Day Trip to Hoi An,Hanoi(3N) →  Danang(2N),5 Nights / 6 Days,Vietnam,17925000,2.4
74,Hoi An and Da Nang Holiday Package with Cycle Tour,Hoi An(2N) →  Da Nang(2N),4 Nights / 5 Days,Vietnam,11775000,4.2
75,Vietnam Itinerary 5 Days - Including Halong Bay Cruise,Hanoi(4N) →  Halong Bay(0N) →  Ninh Binh(0N),4 Nights / 5 Days,Vietnam,9475000,2
76,Super Saver Vietnam Package in Hanoi & Ho Chi Minh City,Hanoi(2N) →  Ninh Binh(0N) →  Ho Chi Minh City(3N),5 Nights / 6 Days,Vietnam,11875000,3.7
77,7 Days Northern Vietnam Adventure: Sapa With Fansipan Mountain Tour,Hanoi(2N) →  Sapa(1N) →  Hanoi(1N) →  Halong Bay(1N) →  Hanoi(1N),6 Nights / 7 Days,Vietnam,20450000,3.6
78,Mesmerising Vietnam Tour Package for 4 Nights: Free Cu Chi Tunnels,Ho Chi Minh City(2N) →  Hanoi(1N) →  Halong Bay(1N),4 Nights / 5 Days,Vietnam,13075000,4.4
79,Couple Special Vietnam Honeymoon Package: With Ba Na Hills Tickets,Hanoi (2N) →  Danang (2N) →  Ho Chi Minh City (2N),6 Nights / 7 Days,Vietnam,23100000,2.3
80,Mesmerising Vietnam and Cambodia Honeymoon Tour Package,Ho Chi Mihn City(3N) → Hanoi(3N) → Halong Bay Cruise(1N) →  Siem Reap(3N),10 Nights / 11 Days,Vietnam,38825000,4
81,"Vietnam Adventure: Hanoi, Ha Long, Hoi An, and Phu Quoc 8-Day Itinerary",Hanoi (1N) → Ha Long Bay(1N) →  Hanoi (1N) →  Hoi An(2N) →   Phu Quoc Island(2N),7 Nights / 8 Days,Vietnam,21950000,2.1
82,Mui Ne Sand Dunes Package,Ho Chi Mihn City(0N) →   Mui Ne Sand Dunes(3N),3 Nights / 4 Days,Vietnam,7575000,4.4
83,Treasures of Vietnam Family Package: Ba Na Hills Day Trip,Hanoi(2N) →  Halong Bay(1N) →  Da Nang(2N) →  Ba Na Hils(0N) →  Ho Chi Minh City(2N),7 Nights / 8 Days,Vietnam,21050000,4.1
84,Experience the Best of Vietnam and Cambodia in 7 Nights,Hanoi(3N) →  Ho Chi Minh City(2N) →  Siem Reap(2N),7 Nights / 8 Days,Vietnam,22875000,2
85,Romantic Royal Vietnam and Cambodia Tour: Complimentary Room Decoration,Ho Chi Minh City(3N) →  Siem Reap(2N),5 Nights / 6 Days,Vietnam,18950000,2.4
86,Experience the Best of Vietnam - 11 Nights 12 Days,Hanoi(2N) →  Halong Bay(1N) →  Hue(1N) →  Hoi An(2N) →  Nha Trang(3N) →  Ho Chi Minh City(2N),11 Nights / 12 Days,Vietnam,26475000,2.3
87,Luxury Vietnam Honeymoon: 7 Nights Blissful Package Deal,Hanoi(1N) →  Halong Bay(1N) →  Da Nang(2N) →  Ho Chi Minh City(3N),7 Nights / 8 Days,Vietnam,19700000,4.1
88,Jewels of Cambodia and Vietnam Tour Package With Cruise,Hanoi(3N) →  Halong Bay(1N) →  Ho Chi Minh City(1N) →  Phnom Penh(2N) →  Siem Reap(2N),9 Nights / 10 Days,Vietnam,26325000,3.1
89,4 Star Luxury Vietnam Holiday Tour Package for 9 Nights,Hanoi(3N) →  Halong Bay(1N) →  Phu Quoc Island(3N) →  Ho Chi Minh City(2N),9 Nights / 10 Days,Vietnam,28575000,3.2
90,Historically Amazing Vietnam Tour,Hanoi(3N) →  Halong Bay(1N) →  Hue(2N) →  Hoi An(2N) →  Ho Chi Minh City(2N),10 Nights / 11 Days,Vietnam,25575000,2.4
91,Vietnam Itinerary 10 Days,Hanoi(2N) →  Sapa(1N) →  Halong Bay(1N) →  Da Nang(2N) →  Ho Chi Minh City(3N),9 Nights / 10 Days,Vietnam,23625000,2.7
92,Vietnam Tour Package With Phong Nha Ke Bang National Park,Hanoi(1N) →  Halong Bay(1N) →  Hanoi(1N) →  Dong Hoi(1N) →  Quang Bing Province (1N) →  Hoi An(2N),7 Nights / 8 Days,Vietnam,23925000,3.7
93,7 Nights Vietnam Family Special Tour Package,Hanoi(3N) →  Halong Bay(2N)  → Ho Chi Min City(2N),7 Nights / 8 Days,Vietnam,22575000,3.2
94,Phu Quoc Island 3 Nights 4 Days Holiday Tour Package,Phu Quoc Island(3N),3 Nights / 4 Days,Vietnam,11125000,2.6
95,Discover Vietnam Package: Free Golden Hands Bridge Cable Car Ticket,Hanoi(2N) →  Halong(1N) →  Da Nang(2N) →  Ho Chi Minh(2N),7 Nights / 8 Days,Vietnam,22650000,2.8
96,Classic Vietnam Tour including Sapa & Mekong Delta,Hanoi(0N) →  Sapa(1N) →  Halong Bay(2N) →  Hue(1N) →  Hoi An(2N) →  Ho Chi Minh City(2N) →  Mekong Delta(1N),11 Nights / 12 Days,Vietnam,27375000,4
97,Magical Vietnam Package With Boat Ride to Tam Coc Caves,Hanoi(2N) →  Halong Bay(1N) →  Hoa Lu(0N) →  Ho Chi Minh City(3N),6 Nights / 7 Days,Vietnam,23175000,2.3
98,Delightful Vietnam & Cambodia Holiday Package,Hanoi(3N) →  Halong Bay(0N) →  Ho Chi Minh City(3N) →  Siem Reap(2N) →  Phnom Penh(2N),10 Nights / 11 Days,Vietnam,29775000,4.8
99,7 Days Honeymoon in Vietnam: Couple Special Package,Hanoi(2N) →  Halong(1N) →  Hanoi(1N) →  Nha Trang(2N),6 Nights / 7 Days,Vietnam,21575000,4.1
100,Rediscover Romance in Vietnam Package for Couples,Hanoi(2N) →  Halong(2N) →  Ho Chi Minh City(2N),6 Nights / 7 Days,Vietnam,24075000,3.4
